OrderID,ClientID,ProductID,LocationID,Quantity,OrderDate,Status
OR0001,CL020,PR002,LO010,6338.56,2024-01-22,Fulfilled
OR0002,CL019,PR003,LO028,3214.13,2024-01-31,Pending
OR0003,CL050,PR002,LO096,1366.36,2024-01-02,Pending
OR0004,CL039,PR004,LO013,9353.42,2024-01-29,Fulfilled
OR0005,CL024,PR001,LO049,1396.6,2024-01-20,Pending
OR0006,CL045,PR001,LO010,7074.74,2024-01-20,Pending
OR0007,CL026,PR005,LO022,1888.57,2024-01-11,Fulfilled
OR0008,CL020,PR005,LO010,6730.4,2024-01-22,Pending
OR0009,CL015,PR004,LO088,5426.66,2024-01-09,Pending
OR0010,CL008,PR003,LO095,2595.49,2024-01-31,Pending
OR0011,CL027,PR002,LO043,7042.4,2024-01-03,Pending
OR0012,CL028,PR005,LO009,281.52,2024-01-12,Fulfilled
OR0013,CL011,PR001,LO007,3601.08,2024-01-29,Fulfilled
OR0014,CL004,PR005,LO093,6393.46,2024-01-04,Pending
OR0015,CL027,PR002,LO008,3388.19,2024-01-28,Pending
OR0016,CL038,PR004,LO077,7486.44,2024-01-12,Pending
OR0017,CL044,PR001,LO046,985.36,2024-01-29,Fulfilled
OR0018,CL012,PR002,LO029,4719.79,2024-01-19,Pending
OR0019,CL012,PR005,LO080,5441.81,2024-01-29,Pending
OR0020,CL043,PR005,LO077,9262.03,2024-01-18,Fulfilled
OR0021,CL038,PR002,LO065,4976.89,2024-01-10,Fulfilled
OR0022,CL018,PR005,LO064,3095.36,2024-01-24,Pending
OR0023,CL050,PR005,LO040,1776.57,2024-01-17,Fulfilled
OR0024,CL022,PR001,LO077,9054.89,2024-01-23,Fulfilled
OR0025,CL009,PR001,LO030,4650.2,2024-01-27,Fulfilled
OR0026,CL029,PR001,LO021,3886.73,2024-01-03,Pending
OR0027,CL011,PR002,LO083,4379.71,2024-01-24,Pending
OR0028,CL026,PR005,LO044,3577.73,2024-01-24,Pending
OR0029,CL022,PR004,LO058,7083.64,2024-01-23,Pending
OR0030,CL027,PR003,LO080,8073.57,2024-01-21,Fulfilled
OR0031,CL035,PR005,LO020,5053.58,2024-01-05,Fulfilled
OR0032,CL002,PR005,LO083,5429.44,2024-01-16,Fulfilled
OR0033,CL046,PR001,LO071,5255.89,2024-01-07,Pending
OR0034,CL031,PR002,LO006,8344.9,2024-01-17,Fulfilled
OR0035,CL014,PR005,LO010,2577.14,2024-01-27,Pending
OR0036,CL024,PR005,LO093,543.43,2024-01-23,Pending
OR0037,CL011,PR005,LO061,3049.59,2024-01-24,Fulfilled
OR0038,CL015,PR002,LO057,1883.51,2024-01-15,Pending
OR0039,CL029,PR005,LO011,8707.38,2024-01-06,Fulfilled
OR0040,CL002,PR004,LO033,9543.32,2024-01-05,Pending
OR0041,CL016,PR002,LO068,9553.77,2024-01-24,Fulfilled
OR0042,CL018,PR004,LO048,3813.47,2024-01-23,Fulfilled
OR0043,CL046,PR001,LO015,8512.52,2024-01-01,Fulfilled
OR0044,CL035,PR005,LO036,9468.46,2024-01-11,Pending
OR0045,CL031,PR003,LO054,8024.67,2024-01-10,Fulfilled
OR0046,CL034,PR003,LO088,8835.01,2024-01-05,Fulfilled
OR0047,CL010,PR001,LO084,1919.64,2024-01-14,Fulfilled
OR0048,CL015,PR003,LO052,7785.83,2024-01-28,Fulfilled
OR0049,CL038,PR005,LO076,6120.05,2024-01-24,Pending
OR0050,CL027,PR002,LO087,959.24,2024-01-24,Pending
OR0051,CL048,PR003,LO096,6501.56,2024-01-08,Pending
OR0052,CL019,PR004,LO096,1800.88,2024-01-20,Fulfilled
OR0053,CL017,PR004,LO022,7780.02,2024-01-12,Fulfilled
OR0054,CL048,PR005,LO014,7161.66,2024-01-18,Pending
OR0055,CL038,PR003,LO076,7831.09,2024-01-29,Pending
OR0056,CL029,PR002,LO048,2688.81,2024-01-03,Fulfilled
OR0057,CL023,PR002,LO013,5002.69,2024-01-23,Fulfilled
OR0058,CL038,PR004,LO037,8576.22,2024-01-07,Fulfilled
OR0059,CL043,PR005,LO060,4105.1,2024-01-19,Pending
OR0060,CL012,PR002,LO079,7533.38,2024-01-04,Fulfilled
OR0061,CL030,PR004,LO049,6581.11,2024-01-23,Fulfilled
OR0062,CL008,PR004,LO025,9562.98,2024-01-09,Fulfilled
OR0063,CL019,PR004,LO004,3017.61,2024-01-23,Pending
OR0064,CL001,PR002,LO060,6806.41,2024-01-10,Pending
