PaymentID,SaleID,SupplierID,PaymentDate,Amount,PaymentType
PA0001,SA0001,SU003,2024-02-01,16998.65,Mobile Payment
PA0002,SA0002,SU010,2024-02-10,7079.38,Cash
PA0003,SA0003,SU005,2024-01-08,3634.95,Mobile Payment
PA0004,SA0004,SU006,2024-02-04,23888.739999999998,Cash
PA0005,SA0005,SU010,2024-01-25,3255.26,Cash
PA0006,SA0006,SU004,2024-01-28,20929.13,Credit
PA0007,SA0007,SU005,2024-01-16,5285.9,Mobile Payment
PA0008,SA0008,SU010,2024-01-31,22999.570000000003,Bank Transfer
PA0009,SA0009,SU010,2024-01-16,15913.380000000001,Bank Transfer
PA0010,SA0010,SU004,2024-02-05,5678.68,Cash
PA0011,SA0011,SU008,2024-01-09,10837.16,Bank Transfer
PA0012,SA0012,SU001,2024-01-19,745.11,Cash
PA0013,SA0013,SU010,2024-02-06,7472.54,Mobile Payment
PA0014,SA0014,SU005,2024-01-11,19506.13,Bank Transfer
PA0015,SA0015,SU001,2024-02-06,11537.800000000001,Bank Transfer
PA0016,SA0016,SU003,2024-01-21,15214.79,Bank Transfer
PA0017,SA0017,SU006,2024-02-02,2768.2200000000003,Bank Transfer
PA0018,SA0018,SU007,2024-01-22,14474.88,Bank Transfer
PA0019,SA0019,SU002,2024-02-05,14757.900000000001,Mobile Payment
PA0020,SA0020,SU006,2024-01-25,24248.56,Credit
PA0021,SA0021,SU003,2024-01-17,16368.2,Mobile Payment
PA0022,SA0022,SU008,2024-01-28,10310.35,Cash
PA0023,SA0023,SU009,2024-01-24,4056.13,Cash
PA0024,SA0024,SU008,2024-02-01,21293.32,Mobile Payment
PA0025,SA0025,SU004,2024-01-29,8146.69,Credit
PA0026,SA0026,SU004,2024-01-16,9286.82,Cash
PA0027,SA0027,SU001,2024-01-27,7694.96,Bank Transfer
PA0028,SA0028,SU007,2024-01-31,8941.77,Mobile Payment
PA0029,SA0029,SU010,2024-01-27,23142.33,Cash
PA0030,SA0030,SU007,2024-01-31,25711.27,Mobile Payment
PA0031,SA0031,SU004,2024-01-15,16529.98,Credit
PA0032,SA0032,SU010,2024-01-25,9078.810000000001,Cash
PA0033,SA0033,SU002,2024-01-12,12437.13,Credit
PA0034,SA0034,SU007,2024-01-23,21459.52,Bank Transfer
PA0035,SA0035,SU005,2024-02-01,7912.37,Mobile Payment
PA0036,SA0036,SU001,2024-01-31,1216.61,Cash
PA0037,SA0037,SU001,2024-01-26,5827.63,Cash
PA0038,SA0038,SU008,2024-01-23,3978.7000000000003,Cash
PA0039,SA0039,SU005,2024-01-09,16767.72,Cash
PA0040,SA0040,SU006,2024-01-12,25392.72,Bank Transfer
PA0041,SA0041,SU004,2024-02-04,25890.74,Bank Transfer
PA0042,SA0042,SU007,2024-02-04,7626.36,Credit
PA0043,SA0043,SU006,2024-01-06,22363.41,Credit
PA0044,SA0044,SU002,2024-01-16,20565.06,Cash
PA0045,SA0045,SU008,2024-01-18,25924.070000000003,Cash
PA0046,SA0046,SU009,2024-01-11,21531.59,Bank Transfer
PA0047,SA0047,SU003,2024-01-16,6168.0,Credit
PA0048,SA0048,SU004,2024-02-01,12167.62,Mobile Payment
PA0049,SA0049,SU010,2024-02-04,19265.530000000002,Credit
PA0050,SA0050,SU006,2024-02-02,2822.06,Mobile Payment
PA0051,SA0051,SU001,2024-01-20,20277.88,Mobile Payment
PA0052,SA0052,SU009,2024-02-01,3273.4900000000002,Cash
PA0053,SA0053,SU006,2024-01-23,26825.32,Credit
PA0054,SA0054,SU002,2024-01-29,21430.76,Mobile Payment
PA0055,SA0055,SU005,2024-02-03,26399.300000000003,Mobile Payment
PA0056,SA0056,SU003,2024-01-11,4585.72,Mobile Payment
PA0057,SA0057,SU010,2024-01-29,14828.92,Credit
PA0058,SA0058,SU004,2024-01-12,16905.039999999997,Cash
PA0059,SA0059,SU006,2024-01-27,7610.280000000001,Mobile Payment
PA0060,SA0060,SU009,2024-01-14,25978.769999999997,Bank Transfer
PA0061,SA0061,SU009,2024-01-31,10008.42,Credit
PA0062,SA0062,SU003,2024-01-16,25243.6,Mobile Payment
PA0063,SA0063,SU003,2024-01-26,7144.76,Cash
PA0064,SA0064,SU003,2024-01-20,11313.23,Cash
PA0065,SA0065,SU010,2024-01-24,10980.650000000001,Mobile Payment
PA0066,SA0066,SU007,2024-01-21,15392.58,Credit
PA0067,SA0067,SU005,2024-02-02,856.95,Bank Transfer
PA0068,SA0068,SU005,2024-01-18,16426.809999999998,Cash
PA0069,SA0069,SU006,2024-02-02,23367.63,Credit
PA0070,SA0070,SU005,2024-02-12,21828.309999999998,Cash
PA0071,SA0071,SU009,2024-02-07,24098.82,Mobile Payment
PA0072,SA0072,SU010,2024-01-14,9674.69,Cash
PA0073,SA0073,SU007,2024-01-17,21249.829999999998,Mobile Payment
PA0074,SA0074,SU008,2024-02-02,1399.29,Cash
PA0075,SA0075,SU005,2024-01-14,9160.220000000001,Bank Transfer
PA0076,SA0076,SU007,2024-01-11,5824.77,Credit
PA0077,SA0077,SU001,2024-01-25,28430.21,Credit
PA0078,SA0078,SU007,2024-01-11,11336.460000000001,Bank Transfer
PA0079,SA0079,SU010,2024-02-08,6629.36,Credit
PA0080,SA0080,SU004,2024-01-19,16467.75,Credit
PA0081,SA0081,SU007,2024-02-07,7933.62,Cash
PA0082,SA0082,SU009,2024-01-13,10697.06,Mobile Payment
PA0083,SA0083,SU006,2024-01-08,24630.09,Bank Transfer
PA0084,SA0084,SU010,2024-01-28,29042.34,Cash
PA0085,SA0085,SU005,2024-02-05,13139.17,Credit
PA0086,SA0086,SU007,2024-02-08,9861.359999999999,Mobile Payment
PA0087,SA0087,SU006,2024-01-18,6878.36,Credit
PA0088,SA0088,SU009,2024-01-26,6492.400000000001,Cash
PA0089,SA0089,SU001,2024-02-04,14159.13,Cash
PA0090,SA0090,SU006,2024-02-04,22407.79,Bank Transfer
PA0091,SA0091,SU005,2024-01-09,18780.739999999998,Bank Transfer
PA0092,SA0092,SU004,2024-02-07,11451.18,Bank Transfer
PA0093,SA0093,SU010,2024-01-21,7355.33,Mobile Payment
PA0094,SA0094,SU007,2024-02-07,12429.52,Cash
PA0095,SA0095,SU008,2024-01-28,13979.59,Cash
PA0096,SA0096,SU008,2024-01-20,7045.759999999999,Credit
PA0097,SA0097,SU008,2024-01-24,6285.110000000001,Bank Transfer
PA0098,SA0098,SU006,2024-01-13,738.76,Credit
PA0099,SA0099,SU008,2024-02-01,14566.880000000001,Cash
PA0100,SA0100,SU010,2024-02-02,5156.53,Mobile Payment
PA0101,SA0101,SU004,2024-02-01,20163.539999999997,Mobile Payment
PA0102,SA0102,SU009,2024-01-25,13388.95,Credit
PA0103,SA0103,SU001,2024-02-01,7022.25,Cash
PA0104,SA0104,SU005,2024-02-02,8227.97,Bank Transfer
PA0105,SA0105,SU003,2024-02-04,22097.22,Credit
PA0106,SA0106,SU006,2024-01-24,16054.56,Credit
PA0107,SA0107,SU009,2024-02-03,18462.83,Cash
