SaleID,OrderID,SaleDate,TotalPrice,Discount,FinalPrice
SA0001,OR0001,2024-01-26,17006.82,8.17,16998.65
SA0002,OR0002,2024-02-01,7181.52,102.14,7079.38
SA0003,OR0003,2024-01-04,3817.19,182.24,3634.95
SA0004,OR0004,2024-01-31,23944.14,55.4,23888.739999999998
SA0005,OR0005,2024-01-24,3407.92,152.66,3255.26
SA0006,OR0006,2024-01-23,21002.79,73.66,20929.13
SA0007,OR0007,2024-01-12,5466.82,180.92,5285.9
SA0008,OR0008,2024-01-25,23163.33,163.76,22999.570000000003
SA0009,OR0009,2024-01-13,15938.29,24.91,15913.380000000001
SA0010,OR0010,2024-02-04,5682.91,4.23,5678.68
SA0011,OR0011,2024-01-07,10867.47,30.31,10837.16
SA0012,OR0012,2024-01-16,801.37,56.26,745.11
SA0013,OR0013,2024-01-31,7632.15,159.61,7472.54
SA0014,OR0014,2024-01-06,19552.31,46.18,19506.13
SA0015,OR0015,2024-01-30,11621.18,83.38,11537.800000000001
SA0016,OR0016,2024-01-14,15314.62,99.83,15214.79
SA0017,OR0017,2024-01-30,2932.82,164.6,2768.2200000000003
SA0018,OR0018,2024-01-20,14603.58,128.7,14474.88
SA0019,OR0019,2024-01-31,14914.12,156.22,14757.900000000001
SA0020,OR0020,2024-01-22,24406.97,158.41,24248.56
SA0021,OR0021,2024-01-12,16369.37,1.17,16368.2
SA0022,OR0022,2024-01-25,10349.77,39.42,10310.35
SA0023,OR0023,2024-01-19,4157.62,101.49,4056.13
SA0024,OR0024,2024-01-26,21446.13,152.81,21293.32
SA0025,OR0025,2024-01-28,8291.08,144.39,8146.69
SA0026,OR0026,2024-01-07,9373.08,86.26,9286.82
SA0027,OR0027,2024-01-26,7887.76,192.8,7694.96
SA0028,OR0028,2024-01-27,9036.95,95.18,8941.77
SA0029,OR0029,2024-01-24,23321.56,179.23,23142.33
SA0030,OR0030,2024-01-24,25804.32,93.05,25711.27
SA0031,OR0031,2024-01-07,16619.77,89.79,16529.98
SA0032,OR0032,2024-01-20,9235.79,156.98,9078.810000000001
SA0033,OR0033,2024-01-09,12532.33,95.2,12437.13
SA0034,OR0034,2024-01-18,21577.25,117.73,21459.52
SA0035,OR0035,2024-01-28,7918.41,6.04,7912.37
SA0036,OR0036,2024-01-26,1338.31,121.7,1216.61
SA0037,OR0037,2024-01-25,5847.7,20.07,5827.63
SA0038,OR0038,2024-01-17,4080.36,101.66,3978.7000000000003
SA0039,OR0039,2024-01-07,16873.82,106.1,16767.72
SA0040,OR0040,2024-01-07,25481.04,88.32,25392.72
SA0041,OR0041,2024-01-28,25927.88,37.14,25890.74
SA0042,OR0042,2024-01-27,7743.96,117.6,7626.36
SA0043,OR0043,2024-01-05,22537.23,173.82,22363.41
SA0044,OR0044,2024-01-14,20672.9,107.84,20565.06
SA0045,OR0045,2024-01-12,26055.08,131.01,25924.070000000003
SA0046,OR0046,2024-01-09,21569.46,37.87,21531.59
SA0047,OR0047,2024-01-15,6280.87,112.87,6168.0
SA0048,OR0048,2024-01-29,12236.18,68.56,12167.62
SA0049,OR0049,2024-01-27,19344.29,78.76,19265.530000000002
SA0050,OR0050,2024-01-26,2865.79,43.73,2822.06
SA0051,OR0051,2024-01-12,20338.52,60.64,20277.88
SA0052,OR0052,2024-01-23,3407.53,134.04,3273.4900000000002
SA0053,OR0053,2024-01-15,26976.73,151.41,26825.32
SA0054,OR0054,2024-01-22,21508.0,77.24,21430.76
SA0055,OR0055,2024-02-02,26564.99,165.69,26399.300000000003
SA0056,OR0056,2024-01-04,4756.59,170.87,4585.72
SA0057,OR0057,2024-01-24,14923.87,94.95,14828.92
SA0058,OR0058,2024-01-10,17054.28,149.24,16905.039999999997
SA0059,OR0059,2024-01-23,7691.64,81.36,7610.280000000001
SA0060,OR0060,2024-01-08,26031.1,52.33,25978.769999999997
SA0061,OR0061,2024-01-25,10159.37,150.95,10008.42
SA0062,OR0062,2024-01-13,25360.21,116.61,25243.6
SA0063,OR0063,2024-01-24,7269.72,124.96,7144.76
SA0064,OR0064,2024-01-13,11489.89,176.66,11313.23
SA0065,OR0065,2024-01-20,11135.37,154.72,10980.650000000001
SA0066,OR0066,2024-01-19,15474.24,81.66,15392.58
SA0067,OR0067,2024-01-30,887.22,30.27,856.95
SA0068,OR0068,2024-01-11,16432.51,5.7,16426.809999999998
SA0069,OR0069,2024-01-28,23431.99,64.36,23367.63
SA0070,OR0070,2024-02-04,21961.01,132.7,21828.309999999998
SA0071,OR0071,2024-01-29,24153.98,55.16,24098.82
SA0072,OR0072,2024-01-12,9866.24,191.55,9674.69
SA0073,OR0073,2024-01-09,21273.12,23.29,21249.829999999998
SA0074,OR0074,2024-01-30,1486.68,87.39,1399.29
SA0075,OR0075,2024-01-13,9289.29,129.07,9160.220000000001
SA0076,OR0076,2024-01-04,5992.96,168.19,5824.77
SA0077,OR0077,2024-01-22,28464.44,34.23,28430.21
SA0078,OR0078,2024-01-03,11401.6,65.14,11336.460000000001
SA0079,OR0079,2024-02-04,6779.23,149.87,6629.36
SA0080,OR0080,2024-01-12,16646.6,178.85,16467.75
SA0081,OR0081,2024-01-31,7967.04,33.42,7933.62
SA0082,OR0082,2024-01-11,10757.6,60.54,10697.06
SA0083,OR0083,2024-01-05,24827.59,197.5,24630.09
SA0084,OR0084,2024-01-23,29128.86,86.52,29042.34
SA0085,OR0085,2024-01-29,13322.75,183.58,13139.17
SA0086,OR0086,2024-01-31,10036.05,174.69,9861.359999999999
SA0087,OR0087,2024-01-17,6895.96,17.6,6878.36
SA0088,OR0088,2024-01-23,6631.85,139.45,6492.400000000001
SA0089,OR0089,2024-01-27,14234.81,75.68,14159.13
SA0090,OR0090,2024-01-26,22468.32,60.53,22407.79
SA0091,OR0091,2024-01-08,18864.05,83.31,18780.739999999998
SA0092,OR0092,2024-02-01,11553.83,102.65,11451.18
SA0093,OR0093,2024-01-15,7532.76,177.43,7355.33
SA0094,OR0094,2024-01-29,12611.09,181.57,12429.52
SA0095,OR0095,2024-01-27,14123.15,143.56,13979.59
SA0096,OR0096,2024-01-19,7194.28,148.52,7045.759999999999
SA0097,OR0097,2024-01-23,6307.85,22.74,6285.110000000001
SA0098,OR0098,2024-01-07,936.42,197.66,738.76
SA0099,OR0099,2024-01-29,14633.43,66.55,14566.880000000001
SA0100,OR0100,2024-01-31,5231.44,74.91,5156.53
SA0101,OR0101,2024-01-29,20255.12,91.58,20163.539999999997
SA0102,OR0102,2024-01-18,13566.83,177.88,13388.95
SA0103,OR0103,2024-01-26,7027.59,5.34,7022.25
SA0104,OR0104,2024-01-28,8228.49,0.52,8227.97
SA0105,OR0105,2024-01-31,22226.7,129.48,22097.22
SA0106,OR0106,2024-01-23,16129.75,75.19,16054.56
SA0107,OR0107,2024-02-02,18519.59,56.76,18462.83
SA0108,OR0108,2024-01-24,14739.58,155.53,14584.05
SA0109,OR0109,2024-01-25,539.22,107.59,431.63
SA0110,OR0110,2024-01-25,10608.15,78.82,10529.33
SA0111,OR0111,2024-01-24,3147.94,193.12,2954.82
SA0112,OR0112,2024-01-28,17124.45,26.55,17097.9
SA0113,OR0113,2024-01-20,2302.43,111.53,2190.8999999999996
SA0114,OR0114,2024-01-08,2961.92,149.7,2812.2200000000003
SA0115,OR0115,2024-01-25,30043.5,78.05,29965.45
SA0116,OR0116,2024-01-11,22700.26,179.97,22520.289999999997
SA0117,OR0117,2024-01-29,15653.74,138.28,15515.46
SA0118,OR0118,2024-01-19,26644.38,115.75,26528.63
SA0119,OR0119,2024-01-24,18183.62,65.57,18118.05
SA0120,OR0120,2024-01-04,1716.68,54.19,1662.49
SA0121,OR0121,2024-02-01,3749.86,40.04,3709.82
SA0122,OR0122,2024-01-09,17793.61,131.51,17662.100000000002
SA0123,OR0123,2024-01-31,13314.97,98.03,13216.939999999999
SA0124,OR0124,2024-01-04,17933.35,53.57,17879.78
SA0125,OR0125,2024-01-18,5895.13,39.84,5855.29
SA0126,OR0126,2024-01-14,7975.98,183.61,7792.37
SA0127,OR0127,2024-01-07,23340.63,123.21,23217.420000000002
SA0128,OR0128,2024-01-03,5209.14,154.82,5054.320000000001
SA0129,OR0129,2024-01-14,4623.68,112.15,4511.530000000001
SA0130,OR0130,2024-01-18,13287.38,81.03,13206.349999999999
SA0131,OR0131,2024-01-27,18427.25,33.94,18393.31
SA0132,OR0132,2024-01-09,4563.23,148.73,4414.5
SA0133,OR0133,2024-01-21,26823.21,111.25,26711.96
SA0134,OR0134,2024-01-05,19128.49,76.27,19052.22
SA0135,OR0135,2024-02-01,11474.33,187.41,11286.92
SA0136,OR0136,2024-01-29,26257.56,66.25,26191.31
SA0137,OR0137,2024-01-06,12037.25,126.95,11910.3
SA0138,OR0138,2024-01-16,2715.75,196.68,2519.07
SA0139,OR0139,2024-01-29,28747.09,137.58,28609.51
SA0140,OR0140,2024-01-22,6082.98,180.76,5902.219999999999
SA0141,OR0141,2024-01-08,1161.39,154.53,1006.8600000000001
SA0142,OR0142,2024-01-14,19291.36,194.64,19096.72
SA0143,OR0143,2024-01-17,8747.85,11.69,8736.16
SA0144,OR0144,2024-01-19,20457.43,121.78,20335.65
SA0145,OR0145,2024-01-30,15795.64,62.8,15732.84
SA0146,OR0146,2024-01-20,26913.96,8.84,26905.12
SA0147,OR0147,2024-01-26,8499.38,43.72,8455.66
SA0148,OR0148,2024-01-10,15654.92,3.73,15651.19
SA0149,OR0149,2024-01-21,19799.35,2.37,19796.98
SA0150,OR0150,2024-01-27,24823.14,96.82,24726.32
SA0151,OR0151,2024-01-18,10474.26,110.11,10364.15
SA0152,OR0152,2024-01-14,13031.5,124.17,12907.33
SA0153,OR0153,2024-01-22,6715.98,152.29,6563.69
SA0154,OR0154,2024-01-08,15779.78,49.86,15729.92
SA0155,OR0155,2024-01-14,17347.95,93.02,17254.93
SA0156,OR0156,2024-01-16,13841.55,39.27,13802.279999999999
SA0157,OR0157,2024-01-30,7943.87,178.29,7765.58
SA0158,OR0158,2024-01-19,10366.56,128.91,10237.65
SA0159,OR0159,2024-01-13,11472.06,184.02,11288.039999999999
SA0160,OR0160,2024-01-17,1076.96,192.4,884.5600000000001
SA0161,OR0161,2024-01-30,20106.91,77.2,20029.71
SA0162,OR0162,2024-01-12,16946.83,88.38,16858.45
SA0163,OR0163,2024-01-29,15148.34,7.34,15141.0
SA0164,OR0164,2024-01-29,14010.99,187.95,13823.039999999999
SA0165,OR0165,2024-01-20,6508.84,4.83,6504.01
SA0166,OR0166,2024-01-20,29186.31,24.13,29162.18
SA0167,OR0167,2024-01-16,23699.48,154.1,23545.38
SA0168,OR0168,2024-01-05,12823.1,117.02,12706.08
SA0169,OR0169,2024-01-26,17621.61,156.45,17465.16
SA0170,OR0170,2024-01-13,25717.0,58.14,25658.86
SA0171,OR0171,2024-02-01,2603.28,32.71,2570.57
SA0172,OR0172,2024-01-08,33661.8,42.3,33619.5
SA0173,OR0173,2024-01-20,3134.16,135.09,2999.0699999999997
SA0174,OR0174,2024-01-10,2354.2,73.95,2280.25
SA0175,OR0175,2024-01-07,15612.19,1.98,15610.210000000001
SA0176,OR0176,2024-02-01,24816.81,54.24,24762.57
SA0177,OR0177,2024-01-14,12764.95,122.43,12642.52
SA0178,OR0178,2024-01-07,2070.61,154.9,1915.71
SA0179,OR0179,2024-02-04,10014.65,10.94,10003.71
SA0180,OR0180,2024-01-26,9353.6,10.32,9343.28
SA0181,OR0181,2024-01-06,10878.69,138.41,10740.28
SA0182,OR0182,2024-01-30,15393.7,130.2,15263.5
SA0183,OR0183,2024-01-04,2553.01,163.14,2389.8700000000003
SA0184,OR0184,2024-01-14,20391.43,194.51,20196.920000000002
SA0185,OR0185,2024-01-09,420.14,130.1,290.03999999999996
SA0186,OR0186,2024-01-07,18709.64,112.84,18596.8
SA0187,OR0187,2024-01-19,1165.35,94.0,1071.35
SA0188,OR0188,2024-01-05,6733.9,50.67,6683.23
SA0189,OR0189,2024-01-19,9752.93,121.13,9631.800000000001
SA0190,OR0190,2024-01-23,23009.15,21.71,22987.440000000002
SA0191,OR0191,2024-01-22,15928.91,77.2,15851.71
SA0192,OR0192,2024-01-27,1627.73,32.97,1594.76
SA0193,OR0193,2024-01-06,11195.14,28.08,11167.06
SA0194,OR0194,2024-01-25,18048.02,98.13,17949.89
SA0195,OR0195,2024-01-14,17696.31,193.81,17502.5
SA0196,OR0196,2024-01-17,1863.92,100.64,1763.28
SA0197,OR0197,2024-01-10,11523.11,21.78,11501.33
SA0198,OR0198,2024-01-08,11029.3,160.62,10868.679999999998
SA0199,OR0199,2024-01-08,9319.62,25.17,9294.45
SA0200,OR0200,2024-01-30,10069.34,112.53,9956.81
SA0201,OR0201,2024-01-25,14678.44,158.14,14520.300000000001
SA0202,OR0202,2024-01-27,9901.18,105.44,9795.74
SA0203,OR0203,2024-01-12,17051.4,131.69,16919.710000000003
SA0204,OR0204,2024-01-08,5113.82,54.43,5059.389999999999
SA0205,OR0205,2024-01-31,9895.46,141.24,9754.22
SA0206,OR0206,2024-01-26,5051.75,176.71,4875.04
SA0207,OR0207,2024-01-27,11906.22,118.78,11787.439999999999
SA0208,OR0208,2024-01-21,6789.68,106.24,6683.4400000000005
SA0209,OR0209,2024-01-03,217.56,173.22,44.34
SA0210,OR0210,2024-01-07,17891.73,27.42,17864.31
SA0211,OR0211,2024-01-31,24801.35,122.5,24678.85
SA0212,OR0212,2024-01-05,15137.14,19.16,15117.98
SA0213,OR0213,2024-01-06,3071.86,175.03,2896.83
SA0214,OR0214,2024-02-01,26503.6,29.29,26474.309999999998
SA0215,OR0215,2024-01-14,5706.17,36.44,5669.7300000000005
SA0216,OR0216,2024-01-12,5837.92,155.54,5682.38
SA0217,OR0217,2024-01-23,12834.18,44.89,12789.29
SA0218,OR0218,2024-01-28,11828.99,159.62,11669.369999999999
SA0219,OR0219,2024-01-14,33896.85,42.35,33854.5
SA0220,OR0220,2024-01-11,2048.88,65.07,1983.8100000000002
SA0221,OR0221,2024-01-20,15281.24,35.18,15246.06
SA0222,OR0222,2024-02-04,2611.18,0.65,2610.5299999999997
SA0223,OR0223,2024-01-05,14134.24,194.31,13939.93
SA0224,OR0224,2024-01-19,21048.6,98.81,20949.789999999997
SA0225,OR0225,2024-01-20,22413.95,19.95,22394.0
SA0226,OR0226,2024-01-06,17328.26,95.39,17232.87
SA0227,OR0227,2024-01-16,3162.37,63.09,3099.2799999999997
SA0228,OR0228,2024-01-31,4736.79,62.19,4674.6
SA0229,OR0229,2024-01-21,599.26,173.0,426.26
SA0230,OR0230,2024-01-21,23323.11,31.05,23292.06
SA0231,OR0231,2024-01-14,10105.62,92.53,10013.09
SA0232,OR0232,2024-01-15,29252.23,148.75,29103.48
SA0233,OR0233,2024-01-07,7997.02,130.66,7866.360000000001
SA0234,OR0234,2024-01-24,4217.76,4.49,4213.27
SA0235,OR0235,2024-01-19,9528.2,187.77,9340.43
SA0236,OR0236,2024-01-04,13407.37,104.01,13303.36
SA0237,OR0237,2024-01-10,15289.72,173.0,15116.72
SA0238,OR0238,2024-01-05,25453.22,101.07,25352.15
SA0239,OR0239,2024-01-09,13747.61,38.47,13709.140000000001
SA0240,OR0240,2024-01-07,900.48,94.66,805.82
SA0241,OR0241,2024-01-05,13306.93,67.68,13239.25
SA0242,OR0242,2024-01-14,28332.22,179.98,28152.24
SA0243,OR0243,2024-01-06,5272.77,43.2,5229.570000000001
SA0244,OR0244,2024-01-16,18557.75,75.2,18482.55
SA0245,OR0245,2024-01-28,15275.71,144.06,15131.65
SA0246,OR0246,2024-01-14,17008.53,180.06,16828.469999999998
SA0247,OR0247,2024-01-18,6274.31,139.08,6135.2300000000005
SA0248,OR0248,2024-01-21,17892.24,54.63,17837.61
SA0249,OR0249,2024-01-23,14344.34,0.08,14344.26
SA0250,OR0250,2024-01-15,3479.62,140.02,3339.6
SA0251,OR0251,2024-01-30,15609.4,137.06,15472.34
SA0252,OR0252,2024-01-14,7702.56,43.17,7659.39
SA0253,OR0253,2024-01-16,12148.95,149.54,11999.41
SA0254,OR0254,2024-01-29,9012.69,65.81,8946.880000000001
SA0255,OR0255,2024-01-14,16416.96,10.6,16406.36
SA0256,OR0256,2024-01-16,10356.06,76.76,10279.3
SA0257,OR0257,2024-01-08,13207.52,59.34,13148.18
SA0258,OR0258,2024-01-12,9839.69,73.96,9765.730000000001
SA0259,OR0259,2024-01-21,21069.92,17.8,21052.12
SA0260,OR0260,2024-01-21,20461.63,113.9,20347.73
SA0261,OR0261,2024-01-23,15808.33,48.66,15759.67
SA0262,OR0262,2024-01-07,15926.58,175.86,15750.72
SA0263,OR0263,2024-01-28,7128.74,26.42,7102.32
SA0264,OR0264,2024-02-01,13660.21,55.76,13604.449999999999
SA0265,OR0265,2024-01-31,9321.63,63.55,9258.08
SA0266,OR0266,2024-01-27,29166.48,132.66,29033.82
SA0267,OR0267,2024-01-31,6722.54,134.43,6588.11
SA0268,OR0268,2024-01-13,2731.45,113.85,2617.6
SA0269,OR0269,2024-01-29,12128.58,15.52,12113.06
SA0270,OR0270,2024-01-25,12552.84,102.58,12450.26
SA0271,OR0271,2024-01-17,17849.55,29.01,17820.54
SA0272,OR0272,2024-01-28,248.78,25.86,222.92000000000002
SA0273,OR0273,2024-01-17,16955.94,146.68,16809.26
SA0274,OR0274,2024-01-14,23014.85,85.17,22929.68
SA0275,OR0275,2024-01-17,28563.33,17.11,28546.22
SA0276,OR0276,2024-01-10,1716.28,15.53,1700.75
SA0277,OR0277,2024-01-28,29822.69,147.81,29674.879999999997
SA0278,OR0278,2024-01-20,6466.09,152.09,6314.0
SA0279,OR0279,2024-01-14,18058.25,153.62,17904.63
SA0280,OR0280,2024-01-28,12233.0,112.24,12120.76
SA0281,OR0281,2024-01-27,25369.33,151.1,25218.230000000003
SA0282,OR0282,2024-01-12,3785.38,152.89,3632.4900000000002
SA0283,OR0283,2024-01-25,6932.18,138.0,6794.18
SA0284,OR0284,2024-01-04,3131.38,6.25,3125.13
SA0285,OR0285,2024-02-03,10978.68,65.41,10913.27
SA0286,OR0286,2024-01-13,16525.95,30.84,16495.11
SA0287,OR0287,2024-01-20,16743.56,18.73,16724.83
SA0288,OR0288,2024-01-17,4903.37,95.78,4807.59
SA0289,OR0289,2024-01-07,4314.78,178.41,4136.37
SA0290,OR0290,2024-01-19,19311.37,22.96,19288.41
