SupplierID,Name,ContactPerson,PhoneNumber,Email,Address
SU001,Hernandez-Klein,Mark Scott,(898)690-3208,kathryn58@villegas.info,"92242 George Squares
Kellychester, DC 34741"
SU002,Beck Inc,Michael Tyler,(264)672-4291x908,xbonilla@parks.info,"84869 Smith Centers
Shawfort, KS 47114"
SU003,Bailey Ltd,Mary Mcfarland,+1-406-385-7765,nbaldwin@yahoo.com,"Unit 3469 Box 5450
DPO AA 40668"
SU004,Walker Inc,Edward Brewer,+1-943-435-9459x856,guerrerochristopher@hotmail.com,"Unit 8742 Box 2724
DPO AP 46671"
SU005,Martinez-Miller,Jody Barton,+1-560-927-7806,colleencuevas@hotmail.com,"154 Hunter Plaza
Madelinemouth, MO 83403"
SU006,Griffin and Sons,Daniel Paul,(935)989-4733x220,robin94@owens.com,"78307 Robert Trafficway
Calebmouth, MT 72970"
SU007,Hicks and Sons,Renee Barker,8283070545,wcruz@gmail.com,"57172 Eric Camp
West Darrell, IL 91230"
SU008,"Griffin, Valenzuela and Anderson",Marc Bruce,001-942-570-6466x56214,acameron@hotmail.com,"PSC 2212, Box 3798
APO AP 76155"
SU009,Young-Trujillo,Adam Bates,281-593-2201x963,bradley19@gmail.com,"3098 Chloe Underpass Apt. 547
New Stephanie, MI 67228"
SU010,Huffman and Sons,Sean Kemp,(205)575-4724,andrew62@gmail.com,"7406 Brian Lock
South Mark, NC 41406"
