TransportID,OrderID,Type,Capacity,AssignedTo,CurrentStatus
TR0001,OR0001,Ship,3050.82,"Hall, Anderson and Weber",In Transit
TR0002,OR0002,Rail Tanker,16108.89,Smith PLC,Delivered
TR0003,OR0003,Pipeline,4812.2,Jones and Sons,Pending
TR0004,OR0004,Tanker Truck,8216.47,Kidd-Tyler,Pending
TR0005,OR0005,Rail Tanker,17079.7,Lewis-Roberts,Pending
TR0006,OR0006,Rail Tanker,2529.55,Coleman-Ward,Delivered
TR0007,OR0007,Ship,2182.67,Spence Ltd,In Transit
TR0008,OR0008,Rail Tanker,17265.73,Williams-Cox,In Transit
TR0009,OR0009,Ship,15723.5,Nguyen-Perry,In Transit
TR0010,OR0010,Tanker Truck,7469.88,"Armstrong, Sharp and Hogan",In Transit
TR0011,OR0011,Pipeline,17013.93,"Wells, Villa and Kim",Pending
TR0012,OR0012,Ship,19812.76,"Rios, Rivera and King",Pending
TR0013,OR0013,Pipeline,15711.93,Valdez-Mcgrath,In Transit
TR0014,OR0014,Rail Tanker,1987.48,Contreras-Morrow,Pending
TR0015,OR0015,Rail Tanker,9297.48,Rogers LLC,Delivered
TR0016,OR0016,Ship,11854.69,"Jenkins, French and Montgomery",Pending
TR0017,OR0017,Tanker Truck,17495.17,Dudley-Mcdonald,In Transit
TR0018,OR0018,Rail Tanker,10190.73,Garcia PLC,In Transit
TR0019,OR0019,Pipeline,14969.93,"Vasquez, Berry and Knox",Delivered
TR0020,OR0020,Rail Tanker,2253.53,Alvarez-Hanson,Delivered
TR0021,OR0021,Tanker Truck,5466.2,"Garcia, Lawrence and Clark",Pending
TR0022,OR0022,Pipeline,19266.64,Perez LLC,Pending
TR0023,OR0023,Tanker Truck,2773.14,"Sanchez, Sexton and Pearson",Delivered
TR0024,OR0024,Rail Tanker,14607.88,"Pitts, Robbins and Shaw",Delivered
TR0025,OR0025,Tanker Truck,12996.54,Hooper LLC,Delivered
TR0026,OR0026,Rail Tanker,8281.46,Vasquez-Williams,Delivered
TR0027,OR0027,Pipeline,3302.07,"Ortiz, Johnson and Stewart",In Transit
TR0028,OR0028,Tanker Truck,10649.88,"Randall, Wu and Reynolds",In Transit
TR0029,OR0029,Rail Tanker,1072.82,"Davis, Norris and Mcdowell",Pending
